STATE,TOTAL_INVESTMENT,DOMESTIC_2019,FOREIGN_2019,TOTAL_2019,INVESTMENT_PER_DOMESTIC_TOURIST,INVESTMENT_PER_FOREIGN_TOURIST,INVESTMENT_PER_TOTAL_TOURIST,NAMEOFEXPERIENCE,SANCTIONEDCOST,IMAGEURL,DESCRIPTIONURL,GOVREPORTURL
andhra pradesh,89.61,237051508,280356,237331864,3.780191097e-07,0.0003196293284,3.775725623e-07,Borra Cave Experience at Araku,29.87,https://snowflake-hero-challenge.s3.us-east-2.amazonaws.com/Borra+Cave+Experience+at+Araku.jpg,https://snowflake-hero-challenge.s3.us-east-2.amazonaws.com/Borra+Cave+Experience+at+Araku.md,https://sd2.tourism.gov.in/DocumentRepoFiles/DPRReport/DPR328189bb-12ad-47aa-8915-c19f5242ddc0.pdf
arunachal pradesh,135.75,555639,7825,563464,0.0002443133041,0.01734824281,0.0002409204492,Mechuka Adventure Park,12.75,https://snowflake-hero-challenge.s3.amazonaws.com/images/Mechuka Adventure Park_LE_upscale_balanced_x4.jpg,https://snowflake-hero-challenge.s3.amazonaws.com/descriptions/Mechuka Adventure Park.md,https://sd2.tourism.gov.in/DocumentRepoFiles/DPRReport/DPR9f73cda4-3379-4f43-a38a-1c8cc8905028.pdf
arunachal pradesh,135.75,555639,7825,563464,0.0002443133041,0.01734824281,0.0002409204492,Mechuka Cultural Haat,18.48,https://snowflake-hero-challenge.s3.amazonaws.com/images/Mechuka Cultural Haat_LE_upscale_balanced_x4.jpg,https://snowflake-hero-challenge.s3.amazonaws.com/descriptions/Mechuka Cultural Haat.md,https://sd2.tourism.gov.in/DocumentRepoFiles/DPRReport/DPRced87bf4-be90-40e4-8c12-dd66cd5e1c49.pdf
arunachal pradesh,135.75,555639,7825,563464,0.0002443133041,0.01734824281,0.0002409204492,Unlock Nacho Expedition,14.02,https://snowflake-hero-challenge.s3.amazonaws.com/images/Unlock Nacho Expedition_LE_upscale_balanced_x4.jpg,https://snowflake-hero-challenge.s3.amazonaws.com/descriptions/Unlock Nacho Expedition.md,https://sd2.tourism.gov.in/DocumentRepoFiles/DPRReport/DPR6ce73078-8ca8-4c74-b8ee-28fa2772c575.pdf
assam,151.74,5447805,26878,5474683,2.785341986e-05,0.005645509338,2.771667328e-05,Kokrajhar Wetland Experience,26.67,https://snowflake-hero-challenge.s3.amazonaws.com/images/Kokrajhar Wetland Experience_LE_upscale_balanced_x4.jpg,https://snowflake-hero-challenge.s3.amazonaws.com/descriptions/Kokrajhar Wetland Experience.md,
assam,151.74,5447805,26878,5474683,2.785341986e-05,0.005645509338,2.771667328e-05,Reimagining Cinnamara Tea Estate,23.91,https://snowflake-hero-challenge.s3.amazonaws.com/images/Reimagining Cinnamara Tea Estate_LE_upscale_balanced_x4.jpg,https://snowflake-hero-challenge.s3.amazonaws.com/descriptions/Reimagining Cinnamara Tea Estate.md,https://sd2.tourism.gov.in/DocumentRepoFiles/DPRReport/DPRdab89ecc-ac22-47a2-9882-bd91ba6fbe4d.pdf
goa,117.63,7127287,937113,8064400,1.650417613e-05,0.0001255238162,1.458633004e-05,Colva Beach Experience,15.65,https://snowflake-hero-challenge.s3.us-east-2.amazonaws.com/Colva+Beach+Experience.jpg,https://snowflake-hero-challenge.s3.us-east-2.amazonaws.com/Colva+Beach+Experience.md,
goa,117.63,7127287,937113,8064400,1.650417613e-05,0.0001255238162,1.458633004e-05,Porvorim Creek Experience,23.56,https://snowflake-hero-challenge.s3.amazonaws.com/images/Porvorim Creek Experience_LE_upscale_balanced_x4.jpg,https://snowflake-hero-challenge.s3.amazonaws.com/descriptions/Porvorim Creek Experience.md,https://sd2.tourism.gov.in/DocumentRepoFiles/DPRReport/DPR12438c19-aa31-4074-9476-6aa82c9a8090.pdf
karnataka,146.34,227934714,608754,228543468,6.420259443e-07,0.0002403926709,6.403158282e-07,Ecological Experience Zone,18.36,https://snowflake-hero-challenge.s3.amazonaws.com/images/Ecological Experience Zone_LE_upscale_balanced_x4.jpg,https://snowflake-hero-challenge.s3.amazonaws.com/descriptions/Ecological Experience Zone.md,
karnataka,146.34,227934714,608754,228543468,6.420259443e-07,0.0002403926709,6.403158282e-07,Setting up of ‘Traveller nooks’,26.3,https://snowflake-hero-challenge.s3.amazonaws.com/images/Setting up of ‘Traveller nooks’ at Hampi Karnataka_LE_upscale_balanced_x4.jpg,https://snowflake-hero-challenge.s3.amazonaws.com/descriptions/Setting up of ‘Traveller nooks’.md,https://sd2.tourism.gov.in/DocumentRepoFiles/DPRReport/DPR8b629df1-c7b0-458f-8c41-27c3bace6197.pdf
